star_id,kepid,sde,snr,period,depth_ppm,duration_hours,n_transits_expected,n_in_transit_points,odd_even_ratio,odd_even_diff_sig,sec_depth_ratio,sec_depth_sig,quarter_recurrence,v_shape_metric,local_snr,residual_sde,scatter_ppm,scatter_mad_ppm,depth_to_scatter,radius_ratio,alias_ratio_half,alias_ratio_double,alias_ratio_triple,label,injected,period_days,depth_ppm_true,has_planet
KIC_6431254,6431254,13.89274949950592,187.191513749037,329.330165707491,2627.523567749581,19.200000000000003,4,87,0.0007008710119319789,12.167204939791736,0.021258419399273018,3.9972200846995882,0.16666666666666666,3.7344766516743797,63.21410754465703,41.61154037449909,384.7713967137148,131.0372058547806,20.051736837715254,0.051259375413182526,0.47127139611515045,2.0127156408897444,1.752980119868338,0,1.0,250.802,109.6,1
KIC_6508221,6508221,50.99764190387534,603.5068490399333,61.83532990077208,4921.7888721459,19.200000000000003,23,741,0.25536412073970066,0.13087403904825148,0.0,0.0,0.8823529411764706,5.0,6.165261898818112,168.37402735524978,1851.4639634392036,222.3239282558642,22.137917905451904,0.07015546216899936,0.4741035679716479,1.7034397385669249,3.2665663881306375,1,0.0,,,1
KIC_6582949,6582949,11.2808766315599,277.93866096230494,186.35135167131997,5513.641904660158,28.799999999999997,7,129,1.5744023290829985,3.1983885958982454,0.0,0.0,0.3333333333333333,3.1469441577533224,82.52355008779831,36.20402008946573,832.6694700144087,226.26032566778517,24.368575835764332,0.07425390161237427,0.5088637067114127,0.7258924807471007,1.4532486207418098,0,1.0,297.53489,154.0,1
KIC_6584971,6584971,6.134887858449686,325.41226941420365,225.12837011695456,10147.38799399216,9.600000000000001,6,42,0.0,19.6576686972991,0.0,0.0,0.23076923076923078,2.9865467487139883,3.7388335786507905,0.0,934.9209635003347,202.16796818109364,50.19285738135605,0.100734244395797,0.3844376658209627,2.2949109556272504,2.2586563154970354,0,1.0,5.74841,828.3,1
KIC_6627290,6627290,9.857985212314604,212.00684451592895,339.34349218465985,5052.486774758121,9.600000000000001,4,34,1.0,0.0,0.0,0.0,0.11764705882352941,2.3313168489153577,157.88372858380905,0.0,356.86142845969596,139.0751264069869,36.32919059855906,0.07108084675043004,0.39880084355917544,1.105519062250586,2.3317014551059656,0,1.0,35.01433,528.0,1
KIC_6634112,6634112,750.275407382696,1110.0315446607583,9.942363217193007,25519.19255599993,1.2000000000000002,146,259,0.9826691546911814,0.8024104552171282,0.0,0.0,0.9411764705882353,1.5908281118910013,147.1032629467687,58.564345294502445,2421.1865678338304,372.05199815841974,68.5903924244854,0.15974727714737402,0.48590628488112203,0.503567223252276,0.3620242860670708,1,0.0,,,1
KIC_6664842,6664842,23.9228053263978,400.85479412181695,61.33867819798377,4466.593355372455,28.799999999999997,23,991,0.464217804254328,0.08756472318891831,0.2380876846902576,1.9351042623087367,0.9411764705882353,5.0,8.299105871710934,30.619204354269645,2255.3074663403004,351.9227495029416,12.691971069449492,0.06683257705170777,0.5355178365474308,1.646263198237193,3.3870889122464467,1,0.0,,,1
KIC_6665695,6665695,19.366121987696904,741.077367151478,183.8634326876903,12838.36766990993,28.799999999999997,7,251,0.0013082676837583703,28.302061171260377,0.004505508231902834,3.029894867007722,0.35294117647058826,3.236314784206134,267.9732039967258,54.95675057915562,2285.85653437097,275.2432723050028,46.643711079279235,0.11330652086226076,0.4510513388019427,1.7296582755940353,0.821561261244244,1,0.0,,,1
KIC_6697817,6697817,9.960409093219036,196.62139546954214,162.99230729829833,2517.9602047988396,19.200000000000003,8,297,10.0,0.5168096106290534,0.0,0.0,0.5294117647058824,5.0,3.7736107735366917,0.0,964.2006199705758,220.89771972610282,11.39876051197327,0.05017928063253637,0.47667708281358373,1.6595725295614452,2.086807026928782,1,0.0,,,1
KIC_6768394,6768394,29.81835185190541,168.61245856422178,309.9414711310308,3813.393788478701,19.200000000000003,4,77,0.0029279165921929206,18.832357102192958,0.0,0.0,0.17647058823529413,3.2448385945041154,1.7566103244696547,32.45225940843734,526.9261524551135,198.60349169020606,19.201041009022475,0.061752682439540234,0.33180799642003284,2.1166556440773623,2.1166556440773623,1,0.0,,,1
